,name,categories,type,unit,database,"wind turbine construction,
2MW, onshore | wind turbine,
2MW, onshore | GLO |
ecoinvent3.8 cut-off"
0,"1,4-Butanediol","('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.2157945005611386e-05
1,1-Pentanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.4856466281034765e-06
2,1-Pentene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.0205270101658846e-05
3,"2,4-D","('soil', 'agricultural')",emission,kilogram,biosphere3,0.015064790543369318
4,2-Aminopropanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.5240322946798854e-06
5,2-Methyl pentane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0007856537016700381
6,2-Methyl-1-propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.710887204259149e-06
7,2-Methyl-2-butene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.3696299938251853e-09
8,2-Nitrobenzoic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.6556302122149987e-06
9,2-Propanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.4859978923334608
10,4-Methyl-2-pentanone,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,9.270061115565299e-05
11,Abamectin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.9139437555557714e-06
12,Acephate,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.01900466522543491
13,Acetaldehyde,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.9520847165177908
14,Acetamide,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.169769418157928e-07
15,Acetic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.3446199532562507
16,Acetochlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.196340101423533e-05
17,Acetone,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.231292161420164
18,Aclonifen,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.6770090834822521e-09
19,Acrolein,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.00024984724946627797
20,Acrylic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.004067563299042798
21,Alachlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.5301020171717514e-06
22,"Aldehydes, unspecified","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.12403868302972541
23,Aldicarb,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0001003359615358343
24,Aldrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,9.740827446573699e-05
25,Aluminium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.074806072579405
26,Ametryn,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.123322615390284e-05
27,Amidosulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.4232805564459573e-08
28,Ammonia,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.266502866548695
29,Ammonium carbonate,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.012192471062934928
30,"Ammonium, ion","('water', 'ground-')",emission,kilogram,biosphere3,1.1027383123436032
31,"Anhydrite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.1617810574606999
32,Aniline,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.7382920404922973e-05
33,Anthranilic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.8429806817942537e-06
34,Anthraquinone,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.963917482549845e-08
35,Antimony,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0016350959988676987
36,Arsenic,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.01771325371985003
37,"Arsenic, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.3056340434213819
38,Arsine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.741658894151639e-08
39,Asulam,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.353732779636444e-11
40,Atrazine,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.00039011033135835345
41,Azinphos-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.592898074465272e-06
42,Azoxystrobin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0033021489786648995
43,Barium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.09726880641282372
44,"Basalt, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,112.58998800274964
45,Benomyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.027435293966828e-07
